"STATION_ADDR1","STATION_ID","STATION_LATITUDE","STATION_LONGITUDE"
"서울특별시 강남구 개포동 153","ST-1187",0,0
"서울특별시 서대문구 신촌로 235-1","ST-1188",37.55739594,126.9521637
"서울특별시 서대문구 연희로 242","ST-1189",37.57838058,126.9360962
"서울특별시 종로구 세종대로 지하189","ST-119",37.57176971,126.9746628
"서울특별시 서대문구 연희로 113","ST-1190",37.56796646,126.9317246
"서울특별시 광진구 자양동 203-22","ST-1191",37.53701401,127.0610962
"서울특별시 광진구 능동 465-7","ST-1192",37.54595184,127.0780029
"서울특별시 광진구 화양동 21-6","ST-1193",37.54822159,127.0678787
"서울특별시 광진구 군자동 111-2","ST-1194",37.55341721,127.0731964
"서울특별시 성동구 고산자로 123","ST-1195",37.55125046,127.0351028
"서울특별시 성동구 하왕십리동 860-1 ","ST-1197",37.56460953,127.0291977
"서울특별시 성동구 상왕십리동 350-1 ","ST-1198",37.56626129,127.0236969
"서울특별시 성동구 성수동1가 678-1","ST-1199",37.54281616,127.0420837
"서울특별시 서대문구 연희로 6","ST-12",37.55893326,126.9271164
"서울특별시 종로구 세종대로 지하172","ST-120",37.57211304,126.9775772
"서울특별시 성북구 보문로 192","ST-1200",37.59125137,127.0140076
"서울특별시 성북구 인촌로7길 120","ST-1201",37.59038162,127.0171356
"서울특별시 성북구 인촌로7길 24","ST-1202",37.5868988,127.020752
"서울특별시 성북구 월계로 28","ST-1203",37.610569,127.0335083
"서울특별시 성북구 장위동 134-27","ST-1204",37.61784363,127.0550003
"서울특별시 노원구 화랑로 341","ST-1205",0,0
"서울특별시 성북구 성북로21길 32","ST-1206",37.59261703,126.9979324
"서울특별시 성북구 동소문로 11","ST-1207",37.58924866,127.0073776
"서울특별시 성북구 아리랑로 82","ST-1208",37.60028839,127.0137024
"서울특별시 성북구 북악산로 870","ST-1209",0,0
"서울특별시 종로구 삼봉로 43","ST-121",37.57258224,126.9783554
"서울특별시 성북구 길음로13길 22","ST-1210",37.60897827,127.0202484
"서울특별시 성북구 길음로 33","ST-1211",37.60710526,127.0214996
"서울특별시 성북구 길음로 20","ST-1212",37.60475159,127.0227585
"서울특별시 성북구 한천로101길 18","ST-1213",37.62382889,127.0502014
"서울특별시 성북구 동소문로 225","ST-1214",0,0
"서울특별시 성북구 안암로 17","ST-1215",37.5794487,127.0241928
"서울특별시 성북구 낙산길 255","ST-1216",37.58388138,127.0170975
"서울특별시 성북구 동소문로34길 73","ST-1217",37.60083008,127.0235519
"서울특별시 구로구 신도림로 67","ST-1218",37.51000977,126.8820496
"서울특별시 구로구 구일로 90-51","ST-1219",37.49340057,126.8743286
"서울특별시 종로구 세종대로 지하172","ST-122",37.57080841,126.9764328
"서울특별시 구로구 가마산로 272","ST-1220",37.49578094,126.8901215
"서울특별시 구로구 가마산로25길 9-24","ST-1221",37.49645615,126.8895874
"서울특별시 구로구 공원로 68","ST-1222",37.50284958,126.8894806
"서울특별시 구로구 새말로 121-15","ST-1223",37.50819397,126.891304
"서울특별시 구로구 디지털로26길 5","ST-1224",37.48160172,126.8927994
"서울특별시 금천구 가산로 157","ST-1225",37.47931671,126.8901215
"서울특별시 구로구 경인로 403","ST-1226",37.49789047,126.864502
"서울특별시 구로구 경인로 343","ST-1227",37.49723053,126.8591919
"서울특별시 구로구 경인로 382","ST-1228",37.49649811,126.8630981
"서울특별시 구로구 고척로21길 85","ST-1229",37.5051384,126.8443375
"서울특별시 종로구 새문안로 55","ST-123",37.56999969,126.9710999
"서울특별시 구로구 고척로22길 64","ST-1230",37.49848175,126.8475037
"서울특별시 구로구 오리로 1352","ST-1231",37.50190353,126.8289642
"서울특별시 구로구 부일로 872","ST-1232",0,0
"서울특별시 구로구 경인로2길 10","ST-1233",37.49072266,126.8263931
"서울특별시 구로구 중앙로3길 18-8","ST-1234",0,0
"서울특별시 구로구 오리로 1181","ST-1235",37.48859787,126.8364945
"서울특별시 구로구 신도림로 16","ST-1236",37.50518036,126.8825378
"서울특별시 구로구 도림천로 351","ST-1237",37.49256516,126.8947525
"서울특별시 구로구 도림로 지하 7","ST-1238",37.48567963,126.8867035
"서울특별시 구로구 오리로 지하 1154","ST-1239",37.48620987,126.8388214
"서울특별시 종로구 새문안로 82","ST-124",37.56996918,126.973938
"서울특별시 구로구 구일로 133","ST-1240",0,0
"서울특별시 구로구 구일로 64","ST-1241",37.4920311,126.8737717
"서울특별시 구로구 구일로4길 57","ST-1242",0,0
"서울특별시 구로구 천왕로 10","ST-1243",37.47943115,126.8426971
"서울특별시 강남구 선릉로 602","ST-1244",0,0
"서울특별시 강남구 봉은사로 456","ST-1245",37.51169586,127.0493469
"서울특별시 강남구 논현로 566","ST-1246",37.50636673,127.034523
"서울특별시 강남구 역삼로 315-1","ST-1247",37.50134277,127.0504684
"서울특별시 강남구 헌릉로569길 39-6","ST-1248",37.46632767,127.0948868
"서울특별시 강서구 양천로 지하 485","ST-1249",37.56103516,126.8548126
"서울특별시 종로구 세종대로 지하172","ST-125",37.56988907,126.9764557
"서울특별시 강서구 양천로53길 30","ST-1250",37.56585312,126.8465958
"서울특별시 강서구 양천로 지하 341","ST-1251",37.56768036,126.8408966
"서울특별시 강서구 남부순환로 171","ST-1252",37.54969406,126.819664
"서울특별시 강서구 마곡서1로 68","ST-1253",37.56267929,126.8204727
"서울특별시 강서구 방화대로34길 65","ST-1254",37.57049942,126.8200836
"서울특별시 강서구 허준로 65","ST-1255",0,0
"서울특별시 동작구 대림로 2","ST-1256",0,0
"서울특별시 관악구 과천대로 909","ST-1257",0,0
"서울특별시 관악구 남부순환로 1719","ST-1258",0,0
"서울특별시 관악구 남부순환로 1641","ST-1259",37.48476791,126.9328766
"서울특별시 중구 세종대로 136","ST-126",37.56887817,126.9774704
"서울특별시 관악구 남부순환로 1943","ST-1260",37.47648239,126.9653626
"서울특별시 관악구 남부순환로 1917","ST-1261",0,0
"서울특별시 관악구 남부순환로 1944","ST-1262",37.47629547,126.9649582
"서울특별시 광진구 천호대로 지하 550","ST-1263",37.55686188,127.0791397
"서울특별시 관악구 남부순환로 1728","ST-1264",37.48218918,126.942131
"서울특별시 관악구 남부순환로 1451","ST-1265",37.48152924,126.9120331
"서울특별시 광진구 능동로 373","ST-1266",37.5625267,127.0822754
"서울특별시 관악구 신림로 41","ST-1267",37.46940613,126.9445114
"서울특별시 관악구 보라매로 3","ST-1268",37.48974991,126.9274674
"서울특별시 관악구 신림로 386","ST-1269",37.48856354,126.9284821
"서울특별시 중구 세종대로 지하 101","ST-127",37.56661224,126.9774704
"서울특별시 관악구 신림로 369","ST-1270",37.48730087,126.9287033
"서울특별시 광진구 광나루로 571","ST-1271",37.54370499,127.0932465
"서울특별시 구로구 구로중앙로 174","ST-1272",0,0
"서울특별시 구로구 새말로 31","ST-1273",37.50254822,126.8838806
"서울특별시 구로구 가마산로 245","ST-1274",37.49526596,126.8884735
"서울특별시 구로구 공원로 15","ST-1275",37.49851608,126.8919907
"서울특별시 금천구 디지털로9길 68","ST-1276",37.48135376,126.88694
"서울특별시 금천구 디지털로9길 56","ST-1277",37.48015976,126.8863678
"서울특별시 노원구 동일로 1342","ST-1278",37.64963913,127.0656052
"서울특별시 노원구 노해로 467","ST-1279",37.65411377,127.0591507
"서울특별시 중구 세종대로 지하101","ST-128",37.56467438,126.976738
"서울특별시 노원구 화랑로 429","ST-1280",37.61938095,127.0578537
"서울특별시 노원구 노원로22길 1","ST-1281",37.64936066,127.0704422
"서울특별시 노원구 한글비석로 227","ST-1282",37.64733505,127.0764237
"서울특별시 노원구 노원로26길 111","ST-1283",37.65578079,127.0717773
"서울특별시 노원구 덕릉로76길 23","ST-1284",37.65449905,127.0743866
"서울특별시 노원구 동일로 지하 1308-1","ST-1285",37.64550781,127.0632553
"서울특별시 노원구 동일로 지하 1308-1","ST-1286",37.64352798,127.0652237
"서울특별시 노원구 노원로 283","ST-1287",37.64340973,127.0718384
"서울특별시 노원구 초안산로 12","ST-1288",37.62934875,127.0548248
"서울특별시 노원구 누원로 18","ST-1289",37.68859863,127.0534058
"서울특별시 중구 통일로 13","ST-129",37.55696106,126.9717712
"서울특별시 노원구 동일로 1404","ST-1290",37.65397644,127.0609741
"서울특별시 노원구 노해로 450","ST-1291",37.65354919,127.0580826
"서울특별시 도봉구 노해로69길 132","ST-1292",37.65779877,127.0500488
"서울특별시 도봉구 시루봉로 128","ST-1293",37.66207886,127.0277176
"서울특별시 도봉구 삼양로 574-48","ST-1294",0,0
"서울특별시 도봉구 해등로 46","ST-1295",37.6475029,127.0433121
"서울특별시 도봉구 해등로 189","ST-1296",37.65858841,127.0352097
"서울특별시 도봉구 도봉로173길 96","ST-1297",37.67867661,127.0407639
"서울특별시 동대문구 천호대로 405","ST-1298",37.56186676,127.0643768
"서울특별시 동대문구 신이문로 44","ST-1299",37.60279846,127.0672684
"서울특별시 서대문구 홍제천로 11","ST-13",37.56819916,126.9178467
"서울특별시 종로구 삼청로 30","ST-130",37.5797081,126.9808579
"서울특별시 동대문구 한천로 42","ST-1300",37.56669998,127.0624237
"서울특별시 동대문구 망우로 74","ST-1301",0,0
"서울특별시 동대문구 망우로 131","ST-1302",37.59153366,127.0677414
"서울특별시 동대문구 왕산로 239","ST-1303",37.58274841,127.0482788
"서울특별시 서초구 반포대로 235","ST-1304",0,0
"서울특별시 서초구 서초중앙로 130","ST-1305",37.49361801,127.014183
"서울특별시 서초구 반포대로 43","ST-1306",37.48416138,127.0109711
"서울특별시 서초구 효령로 10","ST-1307",37.47597885,126.9862824
"서울특별시 서초구 남부순환로 2311-12","ST-1308",37.47720337,127.0058365
"서울특별시 서초구 서초대로 62","ST-1309",37.48652649,126.9891663
"서울특별시 종로구 율곡로 33","ST-131",37.5759697,126.9830627
"서울특별시 서초구 과천대로 870-13","ST-1310",37.4681015,126.9868012
"서울특별시 서초구 양재대로2길 33","ST-1311",37.45742416,127.0226517
"서울특별시 서초구 탑성말길 2","ST-1312",37.4585495,127.0558853
"서울특별시 서초구 능안말길 1-2","ST-1313",37.45561981,127.0671005
"서울특별시 서초구 안골2길 3","ST-1314",37.45560837,127.0644531
"서울특별시 서초구 과천대로 810","ST-1315",37.46429825,126.9885254
"서울특별시 서초구 동광로39길 93","ST-1316",37.49941254,126.9994125
"서울특별시 성북구 종암로 지하 1","ST-1317",37.5907135,127.0361939
"서울특별시 영등포구 선유로 207","ST-1318",0,0
"서울특별시 영등포구 경인로 846","ST-1319",37.51665115,126.9079895
"서울특별시 종로구 종로 47","ST-132",37.57039642,126.9817886
"서울특별시 영등포구 선유서로 76","ST-1320",37.5228157,126.8856506
"서울특별시 영등포구 경인로112길 1","ST-1321",37.51828384,126.9126358
"서울특별시 영등포구 영중로 22","ST-1322",37.52011871,126.9051666
"서울특별시 영등포구 도영로 18","ST-1323",37.50793076,126.8952332
"서울특별시 용산구 두텁바위로 54-99","ST-1324",37.54188538,126.97966
"서울특별시 용산구 한강대로 289","ST-1325",37.54407883,126.9720001
"서울특별시 용산구 한강대로 23","ST-1326",37.52293015,126.9616928
"서울특별시 용산구 원효로 35","ST-1327",37.53442383,126.9485703
"서울특별시 용산구 이태원로 134","ST-1328",37.53427887,126.9885635
"서울특별시 은평구 진관3로 77","ST-1329",37.64260864,126.9214783
"서울특별시 종로구 청계천로 41","ST-133",0,0
"서울특별시 은평구 진관1로 77-23","ST-1330",0,0
"서울특별시 은평구 응암로 248","ST-1331",37.59437561,126.9181595
"서울특별시 중랑구 망우로 297","ST-1332",37.59655762,127.0858383
"서울특별시 중랑구 묵동 6-3","ST-1333",37.61963654,127.0850449
"서울특별시 중랑구 망우로 176","ST-1334",37.59275818,127.07267
"서울특별시 중랑구 겸재로 68","ST-1335",37.58565521,127.0750504
"서울특별시 성동구 용답길 86","ST-1336",37.56260681,127.0513077
"서울특별시 관악구 남부순환로 1817","ST-1337",37.48154831,126.9520035
"서울특별시 강서구 마곡중앙5로 58","ST-1338",37.56844711,126.8216476
"서울특별시 용산구 이촌로71길 24","ST-1339",37.5212822,126.973465
